trip_id,date,time,transport_type,route_id,vehicle_id,origin_station,origin_district,origin_latitude,origin_longitude,destination_station,destination_district,destination_latitude,destination_longitude,distance_km,fare_rwf,passengers_carried,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00224,2023-01-03,13:00:00,Bus,KG 28 Ave,RAD140H,Kagarama,Kicukiro,-1.974239,30.091178,Gacuriro,Gasabo,-1.919422,30.091086,6.1,570,14,13:04:00,13:32:00,1,28,Rain,13.7,92,9,15.9,None,0,58,0,0,1,Summer,1
T00225,2023-01-03,13:15:00,Bus,KG 17 Ave,RAD113F,Kabusunzu,Nyarugenge,-1.962392,30.028088,Kanyinya,Nyarugenge,-1.912778,30.011647,5.81,550,28,13:16:00,13:47:00,18,23,Cloudy,19.5,44,51,14.6,None,50000,64,0,0,1,Winter,1
T00226,2023-01-03,13:30:00,Bus,KN 4 Ave,RAD135F,Kagugu,Gasabo,-1.911281,30.075373,Rugando,Kicukiro,-1.961452,30.123812,7.75,660,21,13:31:00,14:17:00,17,-2,Fog,14.2,65,10,1.5,Festival,0,63,0,1,1,Winter,0
T00227,2023-01-03,13:45:00,Bus,KK 15 Rd,RAD634A,Kigali International Airport,Kicukiro,-1.969016,30.140351,Kanogo,Nyarugenge,-1.940397,30.030328,12.63,960,26,13:45:00,14:06:00,-1,29,Fog,19.6,58,56,15.9,None,2000,24,0,0,1,Winter,1
T00228,2023-01-03,14:00:00,Bus,KN 78 St,RAD114G,Mageragere,Nyarugenge,-2.008357,30.009526,Rugarama,Nyarugenge,-1.948826,30.024428,6.82,610,10,14:02:00,14:29:00,9,22,Fog,24.8,81,13,18.4,None,10000,36,0,0,1,Autumn,1
T00229,2023-01-03,14:15:00,Bus,KN 67 St,RAD255A,Nyakabanda,Nyarugenge,-1.968147,30.042475,Niboye,Kicukiro,-1.990388,30.100867,6.94,620,14,14:18:00,14:56:00,-2,24,Storm,23.9,75,2,1.2,None,0,74,0,1,1,Autumn,1
T00230,2023-01-03,14:30:00,Bus,RN4 (Kigali-Kayonza Rd),RAD323B,Cyahafi,Nyarugenge,-1.957971,30.036103,Nyabugogo Bus Park,Nyarugenge,-1.95807,30.060198,2.68,360,10,14:31:00,15:02:00,17,15,Cloudy,16.9,98,56,8.0,Festival,10000,72,0,1,1,Autumn,1
T00231,2023-01-03,14:45:00,Taxi,KN 67 St,RAC151F,Kigali International Airport,Kicukiro,-1.968766,30.138153,Kacyiru,Gasabo,-1.943586,30.086705,6.37,3550,2,14:45:00,15:13:00,2,1,Rain,23.8,58,32,19.8,None,2000,70,0,0,1,Autumn,0
T00232,2023-01-03,15:00:00,Taxi,KK 432 St,RAC785E,Kanombe,Kicukiro,-1.968622,30.132506,Gikondo,Kicukiro,-1.969228,30.071255,6.81,3720,4,15:02:00,15:52:00,3,29,Rain,28.2,76,6,12.0,Festival,50000,13,0,0,1,Summer,1
T00233,2023-01-03,15:15:00,Taxi,KN 67 St,RAC498E,Kimironko,Gasabo,-1.933697,30.115068,Biryogo,Nyarugenge,-1.962912,30.045904,8.34,4340,1,15:17:00,15:48:00,8,16,Rain,18.1,54,3,10.3,None,0,93,0,0,1,Autumn,1
T00234,2023-01-03,15:30:00,Moto,KK 33 Ave,RAB161F,Nyabisindu,Nyarugenge,-1.973623,30.037996,Nyakabanda,Nyarugenge,-1.965834,30.042918,1.02,560,1,15:30:00,16:09:00,5,26,Storm,17.8,45,38,3.5,None,50000,23,0,0,1,Summer,1
T00235,2023-01-03,15:45:00,Moto,KG 550 St,RAB916B,Ndera,Gasabo,-1.942307,30.156367,Kigali International Airport,Kicukiro,-1.968781,30.137499,3.61,1200,1,15:45:00,16:19:00,4,4,Storm,22.0,70,47,11.3,None,0,66,0,1,1,Winter,0
T00236,2023-01-03,16:00:00,Bus,KK 33 Ave,RAD905H,Kacyiru,Gasabo,-1.941277,30.084984,Nzove,Nyarugenge,-1.933189,29.989862,10.61,840,32,16:03:00,16:51:00,1,13,Heavy Rain,16.3,94,9,8.8,Protest,2000,47,1,0,1,Summer,1
T00237,2023-01-03,16:15:00,Bus,KG 28 Ave,RAD820F,Gisozi,Gasabo,-1.929292,30.064401,Nyarugunga,Kicukiro,-1.996246,30.112364,9.16,750,28,16:15:00,17:07:00,3,-3,Fog,23.4,98,14,2.5,Sports,0,90,0,0,1,Winter,0
T00238,2023-01-03,16:30:00,Taxi,KN 3 Ave,RAC352G,Kimisagara,Nyarugenge,-1.942646,30.040093,Kimihurura,Gasabo,-1.952093,30.091996,5.86,3340,4,16:33:00,17:06:00,13,-1,Heavy Rain,26.5,49,15,9.3,None,0,64,0,1,1,Autumn,0
T00239,2023-01-03,16:45:00,Moto,KK 432 St,RAB390A,Kagunga,Gasabo,-1.908891,30.110611,Kanogo,Nyarugenge,-1.940623,30.034845,9.13,2580,1,16:48:00,17:28:00,17,22,Heavy Rain,20.0,98,37,3.3,None,0,37,0,0,1,Winter,1
T00240,2023-01-03,17:00:00,Bus,KK 432 St,RAD143E,Biryogo,Nyarugenge,-1.961422,30.044535,Kagugu,Gasabo,-1.91248,30.076896,6.52,590,33,17:04:00,17:49:00,12,27,Storm,23.9,65,3,14.6,None,0,89,0,0,1,Winter,1
T00241,2023-01-03,17:15:00,Moto,KK 10 Ave,RAB971H,Nzove,Nyarugenge,-1.933129,29.992203,Kabuga,Gasabo,-1.927569,30.181643,21.06,5560,1,17:17:00,17:47:00,11,4,Fog,23.4,87,3,19.5,None,0,69,0,0,1,Summer,0
T00242,2023-01-03,17:30:00,Moto,KK 15 Rd,RAB906D,Kanogo,Nyarugenge,-1.942793,30.03324,Kacyiru,Gasabo,-1.944091,30.08629,5.9,1780,1,17:32:00,18:05:00,9,4,Fog,12.7,77,55,9.4,None,0,58,0,1,1,Winter,0
T00243,2023-01-03,17:45:00,Bus,KG 550 St,RAD700A,Masaka,Kicukiro,-1.994359,30.151066,Masaka,Kicukiro,-1.995208,30.14824,0.33,220,16,17:47:00,18:06:00,9,24,Rain,15.2,31,54,12.6,Festival,0,11,0,0,1,Spring,1
T00244,2023-01-03,18:00:00,Moto,KN 67 St,RAB338G,Kacyiru,Gasabo,-1.944242,30.084526,Kigali Heights,Gasabo,-1.946161,30.092633,0.93,530,1,18:04:00,18:36:00,13,0,Storm,27.6,58,35,8.6,Sports,0,53,0,0,1,Winter,0
T00245,2023-01-03,18:15:00,Bus,KN 5 Rd,RAD317D,Rugarama,Nyarugenge,-1.947689,30.025131,Nyabugogo Bus Park,Nyarugenge,-1.95594,30.057936,3.76,430,14,18:18:00,19:06:00,12,12,Fog,28.4,45,26,2.8,None,0,50,0,0,1,Autumn,1
T00246,2023-01-03,18:30:00,Bus,RN4 (Kigali-Kayonza Rd),RAD898C,Nyabugogo Bus Park,Nyarugenge,-1.957716,30.058606,Nzove,Nyarugenge,-1.935823,29.990387,7.96,680,20,18:33:00,18:57:00,10,9,Heavy Rain,25.6,64,21,19.4,Parade,0,37,0,1,1,Winter,1
T00247,2023-01-03,18:45:00,Bus,KG 550 St,RAD574B,Bumbogo,Gasabo,-1.892732,30.102983,Masaka,Kicukiro,-1.995756,30.147637,12.48,950,28,18:45:00,19:07:00,8,16,Cloudy,28.0,91,21,2.6,Festival,10000,45,0,0,1,Spring,1
T00248,2023-01-03,19:00:00,Bus,KG 9 Ave,RAD134D,Nzove,Nyarugenge,-1.936105,29.987182,Cyahafi,Nyarugenge,-1.956317,30.035643,5.84,550,11,19:04:00,19:31:00,14,1,Cloudy,17.3,33,16,2.2,None,500,98,0,0,1,Summer,0
T00249,2023-01-03,19:15:00,Taxi,KG 205 St,RAC199H,Nyanza (Kicukiro),Kicukiro,-1.990082,30.120403,Nyakabanda,Nyarugenge,-1.96943,30.044675,8.72,4490,4,19:15:00,19:54:00,18,16,Storm,16.3,97,44,9.2,None,0,9,0,1,1,Winter,1
T00250,2023-01-03,19:30:00,Bus,KN 3 Ave,RAD128A,Niboye,Kicukiro,-1.989476,30.097227,Kigali City Centre (CBD),Nyarugenge,-1.951794,30.056884,6.14,570,10,19:34:00,20:05:00,12,20,Rain,18.7,80,33,13.2,Festival,0,8,0,1,1,Spring,1
T00251,2023-01-03,19:45:00,Bus,KG 7 Ave,RAD983G,Nzove,Nyarugenge,-1.934656,29.992224,Cyahafi,Nyarugenge,-1.95525,30.037683,5.55,530,10,19:45:00,20:18:00,11,15,Rain,13.0,62,31,7.1,Concert,2000,86,0,1,1,Autumn,1
T00252,2023-01-03,20:00:00,Taxi,KK 15 Rd,RAC785G,Kanogo,Nyarugenge,-1.941762,30.03054,Niboye,Kicukiro,-1.989088,30.098399,9.2,4680,1,20:01:00,20:35:00,7,13,Fog,26.1,53,51,3.9,None,0,93,0,0,1,Autumn,1
T00253,2023-01-03,20:15:00,Bus,KK 15 Rd,RAD276A,Kabusunzu,Nyarugenge,-1.96031,30.027958,Biryogo,Nyarugenge,-1.957205,30.04795,2.25,340,15,20:17:00,21:07:00,9,1,Storm,29.0,54,5,16.4,Sports,0,51,1,1,1,Summer,0
T00254,2023-01-03,20:30:00,Bus,RN1 (Kigali-Muhanga Rd),RAD364H,Kanyinya,Nyarugenge,-1.907353,30.007356,Mageragere,Nyarugenge,-2.009683,30.007167,11.38,880,9,20:32:00,21:19:00,13,21,Cloudy,26.4,57,53,7.3,None,0,50,0,0,1,Autumn,1
T00255,2023-01-03,20:45:00,Moto,KG 205 St,RAB866E,Nyarugunga,Kicukiro,-1.997394,30.113906,Ndera,Gasabo,-1.947965,30.153194,7.02,2060,1,20:48:00,21:16:00,12,14,Heavy Rain,21.7,36,32,3.9,Festival,50000,21,0,0,1,Spring,1
T00256,2023-01-03,21:00:00,Taxi,KN 4 Ave,RAC499B,Kigali International Airport,Kicukiro,-1.968051,30.141047,Kigali International Airport,Kicukiro,-1.970967,30.138444,0.43,1170,3,21:01:00,21:34:00,7,4,Fog,17.1,65,7,7.3,None,0,72,0,0,1,Winter,0
T00257,2023-01-03,21:15:00,Bus,KK 10 Ave,RAD112H,Bumbogo,Gasabo,-1.890112,30.098011,Kacyiru,Gasabo,-1.945569,30.084859,6.34,580,29,21:17:00,21:52:00,1,23,Heavy Rain,15.4,39,49,4.3,Concert,2000,82,0,0,1,Spring,1
T00258,2023-01-03,21:30:00,Taxi,KN 4 Ave,RAC867C,Nyarugunga,Kicukiro,-1.993207,30.112942,Kagunga,Gasabo,-1.908003,30.107467,9.49,4800,3,21:33:00,22:17:00,6,11,Fog,18.4,65,52,10.4,None,0,71,0,0,1,Summer,1
T00259,2023-01-03,21:45:00,Moto,KN 67 St,RAB176H,Muhima,Nyarugenge,-1.942252,30.052556,Nyarugunga,Kicukiro,-1.99569,30.11213,8.9,2520,1,21:46:00,22:27:00,18,9,Clear,23.6,47,35,13.4,None,2000,67,0,0,1,Winter,1
T00260,2023-01-03,22:00:00,Bus,KK 33 Ave,RAD326A,Kicukiro Centre,Kicukiro,-1.983065,30.101403,Rugarama,Nyarugenge,-1.952306,30.024196,9.24,750,18,22:02:00,22:33:00,17,12,Heavy Rain,19.8,35,4,16.0,None,0,4,0,1,1,Spring,1
T00261,2023-01-03,22:15:00,Bus,KN 5 Rd,RAD528G,Kabusunzu,Nyarugenge,-1.958718,30.03032,Kacyiru,Gasabo,-1.946132,30.089224,6.69,600,16,22:15:00,23:04:00,6,18,Storm,28.3,36,4,4.6,None,0,82,0,0,1,Summer,1
T00262,2023-01-03,22:30:00,Bus,KK 5 Rd,RAD366H,Kacyiru,Gasabo,-1.946066,30.085627,Nyabisindu,Nyarugenge,-1.972963,30.039007,5.98,560,13,22:34:00,23:22:00,18,16,Heavy Rain,26.9,41,46,3.3,Sports,0,81,0,0,1,Summer,1
T00263,2023-01-03,22:45:00,Bus,KG 17 Ave,RAD746D,Kabuga,Gasabo,-1.929092,30.185419,Nyamirambo,Nyarugenge,-1.973715,30.042872,16.6,1200,9,22:46:00,23:19:00,17,9,Heavy Rain,13.8,70,9,0.4,None,50000,28,0,0,1,Winter,1
T00264,2023-01-03,23:00:00,Taxi,KG 9 Ave,RAC542E,Nyarugunga,Kicukiro,-1.995135,30.113717,Kimihurura,Gasabo,-1.951453,30.08821,5.62,3250,3,23:03:00,23:26:00,8,16,Fog,14.3,92,39,4.6,None,0,82,0,1,1,Winter,1
T00265,2023-01-03,23:15:00,Bus,KK 15 Rd,RAD952E,Nyanza (Kicukiro),Kicukiro,-1.98745,30.117585,Nyamirambo,Nyarugenge,-1.972663,30.042377,8.52,710,9,23:16:00,23:49:00,8,-2,Cloudy,23.8,54,57,0.5,None,0,5,0,0,1,Autumn,0
T00266,2023-01-03,23:30:00,Taxi,KG 205 St,RAC553A,Gahanga,Kicukiro,-2.017128,30.107096,Cyahafi,Nyarugenge,-1.953158,30.034045,10.79,5320,2,23:33:00,00:27:00,4,15,Clear,16.0,82,6,6.9,Concert,2000,68,0,0,1,Autumn,1
T00267,2023-01-03,23:45:00,Moto,RN4 (Kigali-Kayonza Rd),RAB685C,Kimicanga,Gasabo,-1.946885,30.072611,Gahanga,Kicukiro,-2.017528,30.10831,8.8,2500,1,23:46:00,00:15:00,18,2,Heavy Rain,25.8,62,11,2.9,None,0,57,1,0,1,Winter,0
T00268,2023-01-04,00:00:00,Moto,KN 4 Ave,RAB715B,Nyarutarama,Gasabo,-1.93494,30.10913,Bumbogo,Gasabo,-1.891617,30.098054,4.97,1540,1,00:03:00,00:48:00,7,10,Cloudy,22.3,35,29,11.6,None,0,42,0,1,2,Autumn,1
T00269,2023-01-04,00:15:00,Moto,KK 15 Rd,RAB240D,Kigali Heights,Gasabo,-1.945664,30.092385,Kigali City Centre (CBD),Nyarugenge,-1.948432,30.056852,3.96,1290,1,00:17:00,01:05:00,1,0,Rain,16.0,91,24,7.7,Festival,0,68,0,0,2,Winter,0
T00270,2023-01-04,00:30:00,Bus,KK 10 Ave,RAD156F,Gikondo,Kicukiro,-1.971786,30.067394,Bumbogo,Gasabo,-1.888604,30.099449,9.91,790,31,00:30:00,01:14:00,2,18,Clear,20.3,95,27,1.9,None,0,71,0,0,2,Autumn,1
T00271,2023-01-04,00:45:00,Moto,RN4 (Kigali-Kayonza Rd),RAB519H,Kanyinya,Nyarugenge,-1.911309,30.010835,Gacuriro,Gasabo,-1.917326,30.087542,8.55,2440,1,00:47:00,01:28:00,2,23,Clear,19.1,38,42,8.0,Festival,0,90,0,0,2,Spring,1
T00272,2023-01-04,01:00:00,Taxi,KG 205 St,RAC137C,Muhima,Nyarugenge,-1.942768,30.048598,Kigali City Centre (CBD),Nyarugenge,-1.951884,30.06079,1.69,1680,3,01:00:00,01:38:00,8,3,Fog,27.2,96,12,4.2,None,10000,36,0,1,2,Summer,0
T00273,2023-01-04,01:15:00,Moto,KN 5 Rd,RAB628B,Gitega,Nyarugenge,-1.95255,30.055148,Rwandex,Nyarugenge,-1.966863,30.070593,2.34,880,1,01:17:00,01:36:00,6,-1,Heavy Rain,12.6,45,46,13.6,Concert,0,57,0,0,2,Winter,0
T00274,2023-01-04,01:30:00,Bus,KK 33 Ave,RAD828G,Nyanza (Kicukiro),Kicukiro,-1.99086,30.118468,Kicukiro Centre,Kicukiro,-1.98002,30.105475,1.88,310,32,01:32:00,02:11:00,13,29,Rain,27.6,84,48,7.3,None,10000,36,0,0,2,Winter,1
T00275,2023-01-04,01:45:00,Taxi,KG 550 St,RAC643C,Kagarama,Kicukiro,-1.976251,30.087646,Nyanza (Kicukiro),Kicukiro,-1.988614,30.119679,3.82,2530,1,01:46:00,02:24:00,6,-2,Fog,23.4,69,21,2.9,Protest,0,81,0,0,2,Winter,0
T00276,2023-01-04,02:00:00,Bus,KK 15 Rd,RAD356A,Jabana,Gasabo,-1.901539,30.042532,Masaka,Kicukiro,-1.994286,30.148007,15.61,1140,17,02:04:00,02:52:00,19,12,Storm,24.9,55,53,7.0,None,0,25,0,1,2,Spring,1
T00277,2023-01-04,02:15:00,Bus,KK 28 Ave,RAD752H,Kinyinya,Gasabo,-1.920421,30.099194,Kanombe,Kicukiro,-1.971829,30.132106,6.79,610,27,02:18:00,02:42:00,1,21,Cloudy,12.0,67,17,4.5,None,0,41,0,0,2,Summer,1
T00278,2023-01-04,02:30:00,Bus,KN 78 St,RAD379B,Kimironko,Gasabo,-1.933784,30.115617,Kigali Heights,Gasabo,-1.945783,30.092303,2.91,370,9,02:33:00,03:14:00,-1,11,Cloudy,22.9,64,26,15.9,None,500,15,0,0,2,Autumn,1
T00279,2023-01-04,02:45:00,Bus,RN4 (Kigali-Kayonza Rd),RAD240D,Kanyinya,Nyarugenge,-1.910038,30.010005,Kimironko,Gasabo,-1.936322,30.115732,12.11,930,20,02:48:00,03:13:00,11,20,Fog,22.2,97,7,19.7,Protest,0,21,0,0,2,Autumn,1
T00280,2023-01-04,03:00:00,Taxi,KG 7 Ave,RAC750G,Gisozi,Gasabo,-1.933117,30.064437,Cyahafi,Nyarugenge,-1.953521,30.032986,4.17,2670,1,03:00:00,03:53:00,0,11,Cloudy,21.4,88,5,0.5,Festival,2000,22,0,0,2,Summer,1
T00281,2023-01-04,03:15:00,Moto,RN1 (Kigali-Muhanga Rd),RAB153F,Kanogo,Nyarugenge,-1.942418,30.033617,Kagunga,Gasabo,-1.912783,30.112823,9.4,2650,1,03:18:00,03:57:00,15,27,Heavy Rain,25.7,43,10,13.8,None,2000,46,0,0,2,Autumn,1
T00282,2023-01-04,03:30:00,Bus,KN 78 St,RAD923F,Rwandex,Nyarugenge,-1.966596,30.070031,Kabuga,Gasabo,-1.926707,30.185058,13.53,1010,26,03:33:00,03:54:00,18,10,Cloudy,21.7,76,28,5.3,None,0,66,0,0,2,Winter,1
T00283,2023-01-04,03:45:00,Moto,KN 5 Rd,RAB461D,Nyamirambo,Nyarugenge,-1.969314,30.037321,Gisozi,Gasabo,-1.930896,30.066747,5.38,1640,1,03:46:00,04:29:00,3,10,Heavy Rain,27.0,71,57,1.3,Sports,0,2,0,1,2,Summer,1
T00284,2023-01-04,04:00:00,Bus,KN 3 Ave,RAD543D,Rwandex,Nyarugenge,-1.965021,30.065069,Kabusunzu,Nyarugenge,-1.962346,30.028125,4.12,450,18,04:02:00,04:27:00,8,2,Storm,16.1,80,40,0.3,Festival,0,11,0,0,2,Spring,0
T00285,2023-01-04,04:15:00,Taxi,KG 7 Ave,RAC748A,Gitega,Nyarugenge,-1.951985,30.051353,Cyahafi,Nyarugenge,-1.955476,30.034382,1.93,1770,4,04:18:00,04:50:00,18,10,Rain,26.0,48,57,17.6,Concert,2000,22,0,1,2,Summer,1
T00286,2023-01-04,04:30:00,Bus,KK 15 Rd,RAD743A,Sonatube,Kicukiro,-1.970794,30.105849,Nzove,Nyarugenge,-1.936405,29.991071,13.32,1000,16,04:34:00,05:04:00,15,13,Clear,15.1,95,4,7.1,Festival,0,10,0,0,2,Winter,1
T00287,2023-01-04,04:45:00,Bus,KN 4 Ave,RAD215E,Kimisagara,Nyarugenge,-1.945497,30.043122,Kabeza,Kicukiro,-1.980398,30.117705,9.15,750,17,04:48:00,05:05:00,9,14,Fog,26.2,76,6,19.9,None,2000,51,0,1,2,Summer,1
T00288,2023-01-04,05:00:00,Bus,KN 5 Rd,RAD374B,Mageragere,Nyarugenge,-2.009115,30.007722,Gacuriro,Gasabo,-1.919434,30.092737,13.74,1020,24,05:00:00,05:41:00,2,16,Fog,28.4,94,21,8.8,None,0,49,0,0,2,Spring,1
T00289,2023-01-04,05:15:00,Moto,KK 33 Ave,RAB400G,Nyabisindu,Nyarugenge,-1.974459,30.042592,Nyabisindu,Nyarugenge,-1.97536,30.04007,0.3,380,1,05:15:00,05:37:00,6,13,Heavy Rain,17.8,71,58,3.8,None,2000,56,0,0,2,Spring,1
T00290,2023-01-04,05:30:00,Bus,KG 550 St,RAD724D,Rugarama,Nyarugenge,-1.951355,30.026416,Kagarama,Kicukiro,-1.973558,30.088723,7.35,640,22,05:30:00,06:27:00,17,12,Storm,21.2,67,46,15.5,Concert,0,63,0,0,2,Summer,1
T00291,2023-01-04,05:45:00,Taxi,KK 432 St,RAC727H,Mageragere,Nyarugenge,-2.01068,30.010291,Kicukiro Centre,Kicukiro,-1.982799,30.105351,11.01,5400,3,05:48:00,06:18:00,15,28,Storm,23.5,42,52,18.5,None,0,45,0,1,2,Summer,1
T00292,2023-01-04,06:00:00,Bus,KK 15 Rd,RAD492G,Kabuga,Gasabo,-1.926087,30.180186,Nyarugunga,Kicukiro,-1.995998,30.113133,10.77,850,25,06:01:00,06:55:00,16,5,Clear,13.4,73,53,16.3,None,50000,28,0,1,2,Autumn,0
T00293,2023-01-04,06:15:00,Bus,KG 550 St,RAD603E,Kagugu,Gasabo,-1.910455,30.072974,Rugarama,Nyarugenge,-1.947288,30.023944,6.82,610,18,06:19:00,06:52:00,0,23,Rain,20.6,53,3,14.9,None,2000,69,0,0,2,Autumn,1
T00294,2023-01-04,06:30:00,Bus,KK 28 Ave,RAD168F,Rutunga,Gasabo,-1.85773,30.078297,Gahanga,Kicukiro,-2.022659,30.107131,18.62,1320,25,06:33:00,07:07:00,6,29,Fog,18.3,59,31,6.7,None,0,45,0,0,2,Winter,1
T00295,2023-01-04,06:45:00,Moto,KG 11 Ave,RAB881B,Kacyiru,Gasabo,-1.943054,30.087102,Kabusunzu,Nyarugenge,-1.957994,30.029125,6.65,1960,1,06:46:00,07:07:00,1,6,Heavy Rain,27.2,99,18,1.3,None,500,15,0,0,2,Autumn,1
T00296,2023-01-04,07:00:00,Bus,KK 10 Ave,RAD460C,Gisozi,Gasabo,-1.928064,30.065066,Gacuriro,Gasabo,-1.917396,30.089501,2.96,380,29,07:01:00,07:29:00,14,13,Storm,27.3,67,44,4.0,None,500,97,0,0,2,Winter,1
T00297,2023-01-04,07:15:00,Taxi,KK 33 Ave,RAC856H,Nyarugunga,Kicukiro,-1.996785,30.115665,Kimicanga,Gasabo,-1.94634,30.075034,7.2,3880,1,07:18:00,08:13:00,14,13,Fog,24.2,52,32,8.9,Festival,0,50,0,0,2,Winter,1
T00298,2023-01-04,07:30:00,Bus,KG 11 Ave,RAD205A,Kacyiru,Gasabo,-1.94229,30.088251,Kigali Heights,Gasabo,-1.945512,30.088764,0.36,220,35,07:33:00,07:50:00,-1,14,Heavy Rain,23.4,86,0,19.1,None,0,10,1,0,2,Summer,1
T00299,2023-01-04,07:45:00,Moto,KK 15 Rd,RAB685C,Kanogo,Nyarugenge,-1.941406,30.033515,Kigali International Airport,Kicukiro,-1.968613,30.142276,12.46,3420,1,07:46:00,08:31:00,6,19,Cloudy,24.8,52,53,14.5,None,0,10,0,0,2,Autumn,1
T00300,2023-01-04,08:00:00,Bus,KK 10 Ave,RAD563H,Masaka,Kicukiro,-1.9929,30.148676,Kanombe,Kicukiro,-1.969272,30.132666,3.17,390,35,08:01:00,08:46:00,6,4,Fog,18.4,65,45,16.6,Concert,50000,62,0,1,2,Spring,0
T00301,2023-01-04,08:15:00,Bus,KK 432 St,RAD763F,Mageragere,Nyarugenge,-2.008662,30.008758,Kigali City Centre (CBD),Nyarugenge,-1.950656,30.059132,8.54,710,20,08:16:00,08:45:00,2,9,Rain,19.1,86,40,5.5,Festival,0,52,0,1,2,Spring,1
T00302,2023-01-04,08:30:00,Moto,RN4 (Kigali-Kayonza Rd),RAB288E,Gitega,Nyarugenge,-1.951278,30.055097,Kimihurura,Gasabo,-1.950003,30.089664,3.84,1260,1,08:33:00,08:54:00,12,19,Heavy Rain,21.6,30,55,13.7,Concert,0,88,0,0,2,Summer,1
T00303,2023-01-04,08:45:00,Bus,KG 9 Ave,RAD431D,Kabusunzu,Nyarugenge,-1.960386,30.029262,Kagunga,Gasabo,-1.911608,30.11193,10.67,840,18,08:46:00,09:11:00,12,16,Rain,28.3,32,43,17.2,None,0,57,0,1,2,Spring,1
T00304,2023-01-04,09:00:00,Bus,KN 5 Rd,RAD362H,Gacuriro,Gasabo,-1.921774,30.089559,Remera,Gasabo,-1.951537,30.105064,3.73,420,9,09:00:00,09:38:00,0,18,Fog,24.6,43,49,9.6,Festival,0,18,0,0,2,Spring,1
T00305,2023-01-04,09:15:00,Bus,KG 550 St,RAD945G,Biryogo,Nyarugenge,-1.957478,30.046641,Kimihurura,Gasabo,-1.949769,30.09299,5.22,510,24,09:18:00,10:03:00,16,19,Cloudy,21.6,63,40,8.6,None,0,31,0,1,2,Summer,1
T00306,2023-01-04,09:30:00,Moto,KN 5 Rd,RAB110B,Gishushu,Gasabo,-1.946215,30.099244,Kigali International Airport,Kicukiro,-1.967543,30.139218,5.04,1560,1,09:30:00,10:04:00,0,-1,Rain,25.4,99,7,14.4,None,0,49,0,0,2,Spring,0
T00307,2023-01-04,09:45:00,Bus,RN4 (Kigali-Kayonza Rd),RAD257D,Rutunga,Gasabo,-1.862406,30.079246,Remera,Gasabo,-1.954595,30.108368,10.75,840,26,09:47:00,10:39:00,3,29,Storm,18.5,98,31,11.2,Concert,0,71,0,1,2,Summer,1
T00308,2023-01-04,10:00:00,Moto,KK 10 Ave,RAB451B,Kigali International Airport,Kicukiro,-1.96868,30.139141,Kimironko,Gasabo,-1.934252,30.120977,4.33,1380,1,10:03:00,10:56:00,1,13,Heavy Rain,24.7,80,29,19.9,Sports,50000,54,0,0,2,Winter,1
T00309,2023-01-04,10:15:00,Bus,KK 15 Rd,RAD213E,Kimihurura,Gasabo,-1.950824,30.0892,Kigali Heights,Gasabo,-1.950549,30.089864,0.08,220,13,10:17:00,10:46:00,10,15,Fog,19.1,58,45,8.5,None,50000,75,0,0,2,Autumn,1
T00310,2023-01-04,10:30:00,Moto,KK 10 Ave,RAB260E,Kacyiru,Gasabo,-1.942077,30.089941,Kimicanga,Gasabo,-1.942671,30.072525,1.94,780,1,10:31:00,11:19:00,10,26,Cloudy,16.9,77,27,3.5,Festival,0,40,0,0,2,Spring,1
T00311,2023-01-04,10:45:00,Taxi,KG 9 Ave,RAC461A,Kabeza,Kicukiro,-1.981753,30.117359,Rutunga,Gasabo,-1.860526,30.077361,14.19,6680,1,10:46:00,11:24:00,8,19,Storm,22.6,45,40,9.4,Concert,0,98,0,0,2,Summer,1
T00312,2023-01-04,11:00:00,Moto,KK 33 Ave,RAB411G,Kanombe,Kicukiro,-1.972936,30.132017,Kicukiro Centre,Kicukiro,-1.980736,30.103318,3.31,1130,1,11:04:00,11:56:00,2,11,Fog,24.0,86,51,4.7,Festival,10000,69,0,0,2,Spring,1
T00313,2023-01-04,11:15:00,Moto,KG 550 St,RAB666E,Jabana,Gasabo,-1.899483,30.046009,Rugando,Kicukiro,-1.96182,30.124987,11.18,3100,1,11:16:00,11:37:00,-2,10,Cloudy,20.0,39,31,11.2,None,0,20,0,0,2,Autumn,1
T00314,2023-01-04,11:30:00,Taxi,RN4 (Kigali-Kayonza Rd),RAC248C,Ndera,Gasabo,-1.942627,30.155086,Kigali City Centre (CBD),Nyarugenge,-1.952138,30.056991,10.95,5380,1,11:32:00,11:58:00,6,-2,Storm,21.9,48,24,2.5,None,2000,25,0,1,2,Spring,0
T00315,2023-01-04,11:45:00,Taxi,KN 67 St,RAC727G,Gatenga,Kicukiro,-1.982826,30.082457,Nyabugogo Bus Park,Nyarugenge,-1.953113,30.057343,4.32,2730,4,11:46:00,12:43:00,14,14,Rain,24.1,96,33,19.0,None,10000,0,0,0,2,Winter,1
T00316,2023-01-04,12:00:00,Moto,KG 17 Ave,RAB343F,Nyanza (Kicukiro),Kicukiro,-1.989099,30.121107,Rebero,Kicukiro,-1.987527,30.087864,3.7,1220,1,12:03:00,12:45:00,19,2,Fog,25.4,65,32,17.2,None,500,80,0,0,2,Summer,0
